Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Score,Perceptions of corruption,Year
Jamaica,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,5.889800072,0.888890028,2020
South Korea,10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,5.872399807,0.789067447,2020
Japan,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,5.870800018,0.654558063,2020
Peru,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,5.796800137,0.893714964,2020
Serbia,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,5.77820015,0.843509018,2020
Bolivia,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,5.747499943,0.822606206,2020
Pakistan,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,5.69329977,0.745705426,2020
Paraguay,9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,5.692100048,0.834788501,2020
Dominican Republic,9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,5.689199924,0.755999923,2020
Bosnia and Herzegovina,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,5.674099922,0.933769107,2020
Moldova,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,5.607500076,0.913314283,2020
Tajikistan,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,5.555699825,0.592076063,2020
Montenegro,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,5.54610014,0.783121586,2020
Russia,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,5.546000004,0.864802599,2020
Kyrgyzstan,8.148405075,0.887228489,64.10601044,0.909374893,0.154772058,5.541500092,0.888396084,2020
Belarus,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,5.539899826,0.63571167,2020
North Cyprus,10.40570259,0.820356607,73.70222473,0.79529351,0.000227159,5.53550005,0.62611568,2020
Greece,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,5.514999866,0.859931409,2020
Hong Kong S.A.R. of China,10.9346714,0.845969081,76.77170563,0.779833794,0.134979904,5.510399818,0.420607209,2020
Croatia,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,5.504700184,0.916495264,2020
Libya,9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,5.488800049,0.668779135,2020
Mongolia,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,5.456200123,0.863511205,2020
Malaysia,10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,5.384300232,0.839302301,2020
Vietnam,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,5.353499889,0.79642123,2020
Indonesia,9.36975193,0.808379889,62.15584946,0.870614409,0.519586504,5.285600185,0.876296401,2020
Ivory Coast,8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,5.233300209,0.790771961,2020
Benin,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,5.21600008,0.740532577,2020
Maldives,9.518632889,0.91316092,70.59999847,0.853962779,0.038085498,5.197599888,0.824211061,2020
Congo (Brazzaville),8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,5.194399834,0.751779079,2020
Azerbaijan,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,5.164800167,0.55253756,2020
Macedonia,9.510591507,0.820392311,67.50442505,0.738840938,-0.019877451,5.159800053,0.897490501,2020
Ghana,8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,5.147999763,0.847964764,2020
Nepal,7.925357342,0.785512447,63.77917862,0.797565043,0.154168829,5.137199879,0.738099158,2020
Turkey,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,5.131800175,0.748197377,2020
